name,address,latitude,longitude,rating,borough,shop_id,Unnamed: 0,Code,Area,Value,Code_earnings,Area_earnings,Pay_2021
Camden Threads - An online shop for the best independent brands and vintage boutiques,"44A Camden Lock Pl, London",51.5414567,-0.1463852,0.0,Camden,521,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Funkytownshop,"Ground Floor, 232 Camden High St, London",51.5409704,-0.1443065,3.3,Camden,522,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
OuterLimitz Vintage,"12B, Camden Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,0.0,Camden,523,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Miniola Vintage,"65 Cross St, London",51.539392,-0.101881,0.0,Islington,524,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Modern Age Vintage Clothing,"65 Chalk Farm Rd, London",51.5433049,-0.1503682,3.3,Camden,525,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Resurrection Boutique,"3, Archway Close, 3 Archway Rd, London",51.5657346,-0.134374,4.2,Islington,526,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
A Dandy In Aspic,"Market, 748-749, North Yard Stables, Chalk Farm Rd, London",51.5425015,-0.1490213,3.4,Camden,527,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Svarelle,London,51.56526030000001,-0.1196879,0.0,Islington,528,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
The Grandad Company,"47, London",51.5378699,-0.1154254,5.0,Islington,529,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Alpha Vintage Store,"Hornsey Rd, London",51.55952120000001,-0.1144241,0.0,Islington,530,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
DreamingLion Vintage,"Unit D28, Horse Tunnel, The Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,4.5,Camden,531,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Magpie Vintage,"3 Camden Psge, London",51.5345635,-0.1043199,4.7,Islington,532,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
SK.Vintage,"51 Fortess Rd, London",51.5539851,-0.1406663,4.5,Camden,533,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Cats In Orbit,"54 Eade Rd, London",51.5740932,-0.094848,1.0,Haringey,534,3838.0,E09000014,Haringey,"487,500",00AP,Haringey,542.6
Arts And Vintage,"263 Archway Rd, London",51.5762988,-0.1442271,4.8,Haringey,535,3838.0,E09000014,Haringey,"487,500",00AP,Haringey,542.6
