name,address,latitude,longitude,rating,borough
Somebody & Sons Vintage Archive,"1A Beethoven St, London",51.530617,-0.2071881,0.0,London
This Old Thing London,"79 Portobello Rd, London",51.5127324,-0.2021264,5.0,London
American Vintage,"35 Marylebone High St, London",51.5205091,-0.151705,3.4,London
Grays Antique Market,"58 Davies St, London",51.5137017,-0.1486451,4.1,London
Sign of the Times,"5 Elystan St, London",51.490966,-0.1667517,4.3,London
Good,"31 Kensington Church St, London",51.5035908,-0.1920055,4.9,London
ANTIQUES,London,51.5122569,-0.1546661,4.8,London
Retro Living,"7A Church St, London",51.5244864,-0.1685567,5.0,London
Alfies Antique Market,"13 - 25 Church St, London",51.5241255,-0.1688334,4.3,London
SOMLO - London & OMEGA Vintage,"35-36 Burlington Arcade, London",51.509631,-0.14092,4.5,London
pillowHeat,"Vans Store, 47 Carnaby St, London",51.5128206,-0.1386783,4.9,London
Timewise Vintage Watches,"117 Portobello Rd, London",51.51381240000001,-0.2034662,0.0,London
